"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.9560067681895","24.8421052631579","24.3143690736689","27.0848708487085","20.6501297016861","23.7146426995241","19.1893086137101","12.2071589258764","14.6464623827536","17.2483336211491","-1.65295419561845","13.1042321741943","2.91736369330301","15.3451061443337","11.1749134270633","4.64861875358469","-1.2401477582126","5.75084758833322","6.98215053011315","10.7100533865695","14.9883995802521","15.5292370807989","14.3109511822094","12.3420769821096","16.7220010428195","1.35599849293367","9.93538173774522","17.2051788269796","",
"Africa Eastern and Southern","AFE","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.2600775648789","15.8698071869147","16.3060726198689","19.3183427315208","18.5068162550487","","","","","","","","20.6443096562944","20.7986016796318","22.5090569718492","23.0967815014221","24.0146431141617","23.8317805307809","22.3989574781685","18.5169092832043","21.0281029294677","21.4045702181142","18.4387193711826","17.8468773331028","18.0437504682406","16.7505359063475","17.6556536526009","19.1140334644479","17.449175462468","18.841427693729","18.7543951146829","21.0357531108597","20.5560810307544","20.0121274341869",
"Afghanistan","AFG","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.73776944122657","","","",
"Africa Western and Central","AFW","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.8768162483063","26.0554613307072","33.5360055149557","41.1876533535864","43.4545835874633","41.4989702286428","38.6588586441279","27.6578736259277","36.9873385993239","37.8885498383559","37.2329984062724","31.9785711967399","29.8579651106811","24.8175549295183","24.0174901670151","23.0996694434161","25.0999238237662","32.1029953163417","28.065981548237","38.2908476584533","36.5952947489376","28.3837613800852",
"Albania","ALB","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","27.811226308299","28.4100004362066","28.2425665773267","26.0607555881553","23.7252668969749","26.8282680674096","18.7777579223622","-10.9519889602208","-11.9935808855625","11.2082081228168","3.10984322108368","16.3575110147134","16.1325085222171","5.57239439340344","17.3374359747225","14.8995793450768","25.8913491846552","28.9252187864385","25.5167165764119","26.2582688780353","29.3848368163144","30.1064946152177","29.0689428992694","23.9542931255582","17.7309240340907","17.3358968273404","19.9676166726829","20.5454589869746","19.6251008726206","17.7412920007614","15.9293874874597","16.8639794428582","17.0490732471495","16.5293717538814","20.5000046954557","17.4538865661974","17.6572144864529","21.1404891325512","21.035003412436","21.9664584876914",
"Andorra","AND","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.5913136295297","-2.51524110869202","","","","","","","","","","","","","","41.600279868697","42.985462293511","42.431900070206","45.0115272556942","31.8894829753865","37.3038443137019","41.3682187848001","39.9746588514128","37.7481047037253","33.7650813691368","24.6276631118524","24.2381874481361","28.0963714544846","31.4283820598543","29.7528519919778","22.7266301300006","29.2107031183068","35.8914740977932","",
"United Arab Emirates","ARE","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","34.0487067304709","32.5077111131019","30.1386934415596","25.2160967346455","22.9884302060225","19.8802568653612","18.3585987862388","18.5376271806435","17.6214446244036","","14.7833916560665","15.1977497346311","","13.630182377837","16.0433753516211","13.5618560304189","13.6516427929257","16.2505279122602","15.6483624533872","16.5116322700598","17.1300773563084","16.6642824266429","16.1297343275958","13.6619163753345","14.3684376958258","14.2140728227831","21.3431768782392","21.7345330075457","13.7828348747865","13.7086097328953","21.4172295393985","22.2314441717013","21.1268023980529","18.3213663046327","17.3318557921569","17.3332165460366","16.2099451316674","15.1944663729121","15.909027608976","14.3058273001867","14.6222549674317","13.0688485783361","11.3939154141372","13.6907954449568","15.0121353189386","19.4128951075758","17.2199371248765","15.8917417806538",
